Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
4/10/2024 20:00:00,Blue-Footed Boobies (S24),3,Lemon Drop Thots (S24),3,,,8
4/10/2024 20:00:00,Bubblegum Bitches (S24),2,Blue is the Warmest Dodgeball (S24),3,,,8
4/10/2024 20:20:00,Glacial Gushers (S24),3,Honey Nut Queerios (S24),3,,,8
4/10/2024 20:20:00,Let's Have a Kiwi (S24),2,Red Dyke District (S24),3,,,8
4/10/2024 20:40:00,Bubblegum Bitches (S24),0,Inti-MINT-cy issues (S24),6,,,8
4/10/2024 20:40:00,Lemon Drop Thots (S24),3,Purple Pounders (S24),4,,,8
4/17/2024 19:20:00,Honey Nut Queerios (S24),4,Let's Have a Kiwi (S24),3,,,8
4/17/2024 19:20:00,Red Dyke District (S24),3,Bubblegum Bitches (S24),2,,,8
4/17/2024 19:40:00,Inti-MINT-cy issues (S24),4,Blue-Footed Boobies (S24),2,,,8
4/17/2024 19:40:00,Purple Pounders (S24),1,Glacial Gushers (S24),5,,,8
4/17/2024 20:00:00,Bubblegum Bitches (S24),2,Honey Nut Queerios (S24),2,,,8
4/17/2024 20:00:00,Lemon Drop Thots (S24),4,Blue is the Warmest Dodgeball (S24),1,,,8
4/17/2024 20:20:00,Blue-Footed Boobies (S24),5,Red Dyke District (S24),3,,,8
4/17/2024 20:20:00,Let's Have a Kiwi (S24),0,Glacial Gushers (S24),6,,,8
4/17/2024 20:40:00,Blue is the Warmest Dodgeball (S24),2,Purple Pounders (S24),3,,,8
4/17/2024 20:40:00,Lemon Drop Thots (S24),0,Inti-MINT-cy issues (S24),6,,,8
4/24/2024 19:20:00,Glacial Gushers (S24),3,Bubblegum Bitches (S24),4,,,8
4/24/2024 19:20:00,Red Dyke District (S24),3,Lemon Drop Thots (S24),2,,,8
4/24/2024 19:40:00,Honey Nut Queerios (S24),5,Blue-Footed Boobies (S24),2,,,8
4/24/2024 19:40:00,Inti-MINT-cy issues (S24),6,Purple Pounders (S24),1,,,8
4/24/2024 20:00:00,Blue is the Warmest Dodgeball (S24),3,Red Dyke District (S24),3,,,8
4/24/2024 20:00:00,Bubblegum Bitches (S24),3,Let's Have a Kiwi (S24),3,,,
4/24/2024 20:20:00,Blue-Footed Boobies (S24),2,Glacial Gushers (S24),3,,,8
4/24/2024 20:20:00,Lemon Drop Thots (S24),1,Honey Nut Queerios (S24),5,,,8
4/24/2024 20:40:00,Inti-MINT-cy issues (S24),5,Blue is the Warmest Dodgeball (S24),0,,,8
4/24/2024 20:40:00,Purple Pounders (S24),1,Let's Have a Kiwi (S24),5,,,8
5/1/2024 19:20:00,Inti-MINT-cy issues (S24),4,Honey Nut Queerios (S24),1,,,8
5/1/2024 19:20:00,Let's Have a Kiwi (S24),3,Blue-Footed Boobies (S24),2,,,8
5/1/2024 19:40:00,Blue is the Warmest Dodgeball (S24),2,Glacial Gushers (S24),6,,,8
5/1/2024 19:40:00,Purple Pounders (S24),3,Bubblegum Bitches (S24),2,,,8
5/1/2024 20:00:00,Lemon Drop Thots (S24),1,Let's Have a Kiwi (S24),4,,,8
5/1/2024 20:00:00,Red Dyke District (S24),2,Inti-MINT-cy issues (S24),3,,,8
5/1/2024 20:20:00,Blue-Footed Boobies (S24),6,Bubblegum Bitches (S24),1,,,8
5/1/2024 20:20:00,Honey Nut Queerios (S24),4,Blue is the Warmest Dodgeball (S24),0,,,8
5/1/2024 20:40:00,Glacial Gushers (S24),4,Lemon Drop Thots (S24),1,,,8
5/1/2024 20:40:00,Red Dyke District (S24),2,Purple Pounders (S24),6,,,8
5/8/2024 19:20:00,Honey Nut Queerios (S24),7,Red Dyke District (S24),0,,,8
5/8/2024 19:20:00,Purple Pounders (S24),4,Blue-Footed Boobies (S24),2,,,8
5/8/2024 19:40:00,Blue is the Warmest Dodgeball (S24),1,Bubblegum Bitches (S24),4,,,8
5/8/2024 19:40:00,Let's Have a Kiwi (S24),2,Inti-MINT-cy issues (S24),3,,,8
5/8/2024 20:00:00,Glacial Gushers (S24),6,Red Dyke District (S24),0,,,8
5/8/2024 20:00:00,Lemon Drop Thots (S24),4,Blue-Footed Boobies (S24),3,,,8
5/8/2024 20:20:00,Honey Nut Queerios (S24),3,Purple Pounders (S24),2,,,8
5/8/2024 20:20:00,Let's Have a Kiwi (S24),2,Blue is the Warmest Dodgeball (S24),4,,,8
5/8/2024 20:40:00,Bubblegum Bitches (S24),2,Lemon Drop Thots (S24),3,,,8
5/8/2024 20:40:00,Glacial Gushers (S24),2,Inti-MINT-cy issues (S24),3,,,
5/15/2024 19:50:00,Honey Nut Queerios (S24),2,Glacial Gushers (S24),4,,,8
