trial,value,beta,draw_probability,mu,sigma,tau
21,0.6466944003653645,1639.767595585508,0.43063037382683056,1000.0,365.91777671503615,3.857340692397889
47,0.6467465638366318,1923.3798359471796,0.28435427619625214,1000.0,459.4856789932658,7.729969146339638
22,0.647339543788177,1390.7117348119452,0.4312356568398683,1000.0,303.88660960507656,6.24063201055818
45,0.6473768851017326,1614.3320030213968,0.14142587677843357,1000.0,670.7403807492196,4.91904103045642
80,0.6474644225838182,1778.4541040734805,0.4142667156855676,1000.0,372.69172539697445,7.7701438140243075
0,0.6475962588290463,1808.641761174975,0.3885351115737664,1000.0,676.7839333121804,8.36824641575028
52,0.6478210239502266,1981.7504610858234,0.40825302363877297,1000.0,404.31278306581225,8.52955967237861
29,0.6478719630312837,1764.4435674116826,0.23547589060891194,1000.0,728.515276539089,5.704119725047378
69,0.6479045554040945,1867.6157418663424,0.32666765930382713,1000.0,734.2528755743962,9.651933077326857
14,0.6479966309087852,1412.8668187706355,0.31533215864032627,1000.0,322.46562655251546,6.885738890492498
37,0.648290272948158,1888.4224436559898,0.47565627471652905,1000.0,695.5917609542443,4.417539085300891
23,0.6483347911358766,1989.885757135972,0.34516214008234114,1000.0,423.7112763488444,4.6897923573326405
60,0.6492168997535817,1908.6985988444176,0.30802402236215715,1000.0,394.35469744355476,8.450941927828325
50,0.649920954990247,1818.8600854279646,0.37178037085410964,1000.0,748.4548083511418,9.224516444062285
88,0.6503716436299266,1860.130495247564,0.2902974597154245,1000.0,819.5069526782214,9.258112084106664
16,0.6517661313805174,1613.2588964415438,0.1890311995425898,1000.0,343.0839108982894,2.873735403226382
18,0.654196566180535,1166.3673627942362,0.3270339537449835,1000.0,193.98523496700557,9.931348731416323
4,0.6546917629586163,1139.0615305964564,0.2698912676663025,1000.0,554.6183275580651,5.677165376592921
24,0.6561777512797574,1545.349496309818,0.4453546905590276,1000.0,245.24119477157964,1.0065607544764918
56,0.656944490584207,1836.0845320969252,0.36939012805072036,1000.0,909.2018936962338,9.892117359270845
44,0.6583190869530077,1059.824803207006,0.18104809151582277,1000.0,601.4519669499903,3.313817552060744
43,0.6609624575934572,1512.4248985816844,0.39441635581168466,1000.0,792.6972794713196,6.748074216252085
6,0.6620677985299771,939.8850805050618,0.020496205002758616,1000.0,640.8920902034284,8.76381376325141
59,0.6633114071227392,609.9863301545238,0.3407801025256642,1000.0,289.0778776268295,9.476263162578244
11,0.6633176984714763,1839.776739324362,0.3735844619073672,1000.0,242.5354828408753,2.347458684828972
70,0.6671867001079236,883.070059707691,0.3925991818591324,1000.0,488.79223504926097,8.781359507592395
19,0.6677693960259221,1283.0780495538006,0.21368988912324882,1000.0,872.6233911628872,6.550780893642776
20,0.6686929367931944,829.9712028499225,0.32101217365715784,1000.0,501.47185190136076,7.286621806476655
12,0.6687046361432009,1565.4481582058718,0.3724309713493187,1000.0,956.8134436347459,7.482163847247756
90,0.6707631818138707,1482.1778324669497,0.27113677792202845,1000.0,1016.9546734597343,7.857504176562342
25,0.6745652700397777,1206.3493685288702,0.2929749020494268,1000.0,92.20090027575577,7.9167971314476535
62,0.6792366989401025,1654.3000790293231,0.35802061913202377,1000.0,1196.3861405189436,8.082437912847315
10,0.6802707221868092,1904.1728855760132,0.2775328463964184,1000.0,154.82985233025255,0.33777435093348585
5,0.6818192626176411,996.6519822665617,0.3987266750111031,1000.0,705.6272097878076,3.780137269070856
15,0.6890528042141638,1411.8734938994135,0.4443820532971364,1000.0,70.1779753561018,2.1812300398708597
2,0.7000198105117533,576.0104439662574,0.499630904950319,1000.0,433.99751118227647,4.248785690740079
7,0.7014352510439406,452.31087283167346,0.10931784679783563,1000.0,485.49474195466576,8.886573395497395
9,0.7207204009346008,710.2344717477343,0.026386257205703145,1000.0,1108.7882056143612,5.171673854441955
68,0.7917006715709878,299.28293088988926,0.3006120166451398,1000.0,566.9080712533366,9.25196091053324
3,0.7930569124496194,483.54113818392386,0.47888781527234425,1000.0,793.44510205834,5.546097427208869
1,0.8025039871223932,254.90202720773962,0.1555119072720122,1000.0,619.788399160499,8.990185691207886
32,1.0240279541985111,44.446258789599824,0.1842957062728849,1000.0,605.5093478259352,6.202587115258108
