Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
10/23/2024 19:20:00,Twerkoise,4,Clementops,0,,,
10/23/2024 19:40:00,Froggays,3,Violetly Gay,2,,,
10/23/2024 19:40:00,Lime and Punishment,2,Naughty Hotties,1,,,
10/23/2024 20:00:00,The Blue Ballers,1,Wet Dreams,3,,,
10/23/2024 20:00:00,Urine Trouble,3,Cardinal Sinners,1,,,
10/23/2024 20:20:00,Clementops,1,Lime and Punishment,3,,,
10/23/2024 20:20:00,Winona Ride Her,5,Twerkoise,0,,,
10/23/2024 20:40:00,Gay Sharks,2,Washington Formanders,2,,,
10/23/2024 20:40:00,Vikinks,0,Cuntolina Panthers,3,,,
10/23/2024 21:00:00,Edgar Allen Hoes,2,Washington Formanders,3,,,
10/23/2024 21:00:00,Gay Sharks,3,Mean Gay Packers,3,,,
10/23/2024 21:20:00,Edgar Allen Hoes,3,Vikinks,3,,,
10/23/2024 21:20:00,Mean Gay Packers,2,Cuntolina Panthers,2,,,
11/13/2024 18:40:00,Lime and Punishment,0,Winona Ride Her,6,,,
11/13/2024 18:40:00,Urine Trouble,1,Twerkoise,4,,,
11/13/2024 19:00:00,Froggays,2,Queermint,4,,,
11/13/2024 19:00:00,Naughty Hotties,2,Wet Dreams,1,,,
11/13/2024 19:20:00,Cardinal Sinners,3,Violetly Gay,1,,,
11/13/2024 19:20:00,Clementops,2,The Blue Ballers,2,,,
11/13/2024 19:40:00,Urine Trouble,0,Winona Ride Her,4,,,
11/13/2024 19:40:00,Wet Dreams,4,Lime and Punishment,1,,,
11/13/2024 20:00:00,Twerkoise,2,Froggays,3,,,
11/13/2024 20:00:00,Violetly Gay,3,Naughty Hotties,1,,,
11/13/2024 20:20:00,Cardinal Sinners,3,Clementops,0,,,
11/13/2024 20:20:00,Queermint,3,The Blue Ballers,2,,,
11/13/2024 20:40:00,Mean Gay Packers,1,Washington Formanders,2,,,
11/13/2024 20:40:00,Vikinks,3,Edgar Allen Hoes,1,,,
11/13/2024 21:00:00,Cuntolina Panthers,2,Mean Gay Packers,2,,,
11/13/2024 21:00:00,Washington Formanders,0,Gay Sharks,5,,,
11/13/2024 21:20:00,Edgar Allen Hoes,2,Cuntolina Panthers,3,,,
11/13/2024 21:20:00,Gay Sharks,1,Vikinks,3,,,
11/20/2024 18:40:00,Violetly Gay,3,Clementops,2,,,
11/20/2024 18:40:00,Wet Dreams,2,Cardinal Sinners,5,,,
11/20/2024 19:00:00,The Blue Ballers,2,Froggays,3,,,
11/20/2024 19:00:00,Winona Ride Her,1,Naughty Hotties,3,,,
11/20/2024 19:20:00,Lime and Punishment,2,Twerkoise,3,,,
11/20/2024 19:20:00,Queermint,3,Urine Trouble,2,,,
11/20/2024 19:40:00,Froggays,3,Clementops,2,,,
11/20/2024 19:40:00,Wet Dreams,3,Violetly Gay,1,,,
11/20/2024 20:00:00,Twerkoise,1,Naughty Hotties,3,,,
11/20/2024 20:00:00,Winona Ride Her,3,Cardinal Sinners,0,,,
11/20/2024 20:20:00,Lime and Punishment,0,Queermint,7,,,
11/20/2024 20:20:00,Urine Trouble,2,The Blue Ballers,2,,,
11/20/2024 20:40:00,Gay Sharks,2,Mean Gay Packers,2,,,
11/20/2024 20:40:00,Washington Formanders,3,Edgar Allen Hoes,2,,,
11/20/2024 21:00:00,Edgar Allen Hoes,0,Gay Sharks,3,,,
11/20/2024 21:00:00,Vikinks,3,Cuntolina Panthers,1,,,
11/20/2024 21:20:00,Cuntolina Panthers,4,Washington Formanders,1,,,
11/20/2024 21:20:00,Vikinks,3,Mean Gay Packers,1,,,
12/4/2024 18:40:00,Cardinal Sinners,0,Clementops,1,1,1,
