number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
87,0.6885388178978796,2025-11-14 23:05:11.950297,2025-11-14 23:05:12.233570,0 days 00:00:00.283273,538.2827619942186,201.2908232313183,COMPLETE
88,0.6730256477301698,2025-11-14 23:05:12.233677,2025-11-14 23:05:12.511724,0 days 00:00:00.278047,556.2655504923797,718.5660741322041,COMPLETE
89,0.6719887880867221,2025-11-14 23:05:12.511832,2025-11-14 23:05:12.798113,0 days 00:00:00.286281,584.1704855059572,777.1151327920162,COMPLETE
90,0.6725072255803952,2025-11-14 23:05:12.798227,2025-11-14 23:05:13.074745,0 days 00:00:00.276518,570.0492593621719,746.5827965676413,COMPLETE
91,0.6717426373929425,2025-11-14 23:05:13.074858,2025-11-14 23:05:13.351620,0 days 00:00:00.276762,598.7163279818868,787.7884332694607,COMPLETE
92,0.6718162571382046,2025-11-14 23:05:13.351725,2025-11-14 23:05:13.637865,0 days 00:00:00.286140,589.8950912345314,787.3224778246171,COMPLETE
93,0.6720158257129359,2025-11-14 23:05:13.637978,2025-11-14 23:05:13.914468,0 days 00:00:00.276490,599.8061317642878,765.8984103927424,COMPLETE
94,0.6719099272533913,2025-11-14 23:05:13.914566,2025-11-14 23:05:14.192032,0 days 00:00:00.277466,559.4836040107893,799.8568254178508,COMPLETE
95,0.671969451430179,2025-11-14 23:05:14.192150,2025-11-14 23:05:14.475725,0 days 00:00:00.283575,575.580704739571,784.0345426662645,COMPLETE
96,0.6721304859127416,2025-11-14 23:05:14.475841,2025-11-14 23:05:14.753143,0 days 00:00:00.277302,591.9437100863145,761.7470688862711,COMPLETE
97,0.6723454129017863,2025-11-14 23:05:14.753251,2025-11-14 23:05:15.041852,0 days 00:00:00.288601,541.4787288444202,776.3083698237313,COMPLETE
98,0.6726550346520885,2025-11-14 23:05:15.041964,2025-11-14 23:05:15.318684,0 days 00:00:00.276720,576.2096164939246,732.9628417670889,COMPLETE
99,0.6736319567880424,2025-11-14 23:05:15.318798,2025-11-14 23:05:15.595825,0 days 00:00:00.277027,502.3991353348641,708.452573813743,COMPLETE
100,0.6728721385547728,2025-11-14 23:05:15.595944,2025-11-14 23:05:15.882864,0 days 00:00:00.286920,520.3167907447925,749.8645364712254,COMPLETE
101,0.6717823574182149,2025-11-14 23:05:15.882983,2025-11-14 23:05:16.163090,0 days 00:00:00.280107,588.5925442274529,790.9120389194982,COMPLETE
102,0.6717833888551681,2025-11-14 23:05:16.163199,2025-11-14 23:05:16.443345,0 days 00:00:00.280146,589.2688742079511,790.395403406825,COMPLETE
103,0.6718565510172018,2025-11-14 23:05:16.443461,2025-11-14 23:05:16.730424,0 days 00:00:00.286963,590.3799166445473,783.7765429750211,COMPLETE
104,0.6722984893071292,2025-11-14 23:05:16.730549,2025-11-14 23:05:17.009705,0 days 00:00:00.279156,562.3519975001249,766.5195848487674,COMPLETE
105,0.6721402936763121,2025-11-14 23:05:17.009819,2025-11-14 23:05:17.296696,0 days 00:00:00.286877,548.6356872966946,788.0713019227455,COMPLETE
106,0.6721692554290044,2025-11-14 23:05:17.296802,2025-11-14 23:05:17.574248,0 days 00:00:00.277446,592.0591860769456,758.8176453484268,COMPLETE
107,0.6719113986221709,2025-11-14 23:05:17.574364,2025-11-14 23:05:17.849864,0 days 00:00:00.275500,599.443251473592,774.0431182446156,COMPLETE
108,0.6794771865732849,2025-11-14 23:05:17.849974,2025-11-14 23:05:18.133099,0 days 00:00:00.283125,580.0618628580573,437.9909141722455,COMPLETE
109,0.672804814180287,2025-11-14 23:05:18.133205,2025-11-14 23:05:18.409983,0 days 00:00:00.276778,564.8688974419472,728.7498567116774,COMPLETE
110,0.6724411973160891,2025-11-14 23:05:18.410090,2025-11-14 23:05:18.687968,0 days 00:00:00.277878,581.0601552292072,745.2258434154464,COMPLETE
111,0.671907099557887,2025-11-14 23:05:18.688078,2025-11-14 23:05:18.972308,0 days 00:00:00.284230,572.1980263685818,791.3440475196796,COMPLETE
112,0.6720340207471642,2025-11-14 23:05:18.972423,2025-11-14 23:05:19.250759,0 days 00:00:00.278336,552.4887640637809,794.2530517170283,COMPLETE
113,0.6716771793991575,2025-11-14 23:05:19.250866,2025-11-14 23:05:19.535396,0 days 00:00:00.284530,590.3913679098695,798.4813231301023,COMPLETE
114,0.6720393208265579,2025-11-14 23:05:19.535495,2025-11-14 23:05:19.812390,0 days 00:00:00.276895,586.2786747378615,771.9152762879228,COMPLETE
115,0.6718605405855101,2025-11-14 23:05:19.812505,2025-11-14 23:05:20.089191,0 days 00:00:00.276686,592.5664295461103,782.1146358849484,COMPLETE
116,0.672695724136891,2025-11-14 23:05:20.089301,2025-11-14 23:05:20.373635,0 days 00:00:00.284334,533.5498464177392,754.5254681636669,COMPLETE
117,0.671754967937461,2025-11-14 23:05:20.373743,2025-11-14 23:05:20.651948,0 days 00:00:00.278205,579.2593957657507,799.346304228757,COMPLETE
118,0.6720155260494444,2025-11-14 23:05:20.652054,2025-11-14 23:05:20.939672,0 days 00:00:00.287618,597.486914443132,767.2256088778317,COMPLETE
119,0.6720397558581446,2025-11-14 23:05:20.939788,2025-11-14 23:05:21.218792,0 days 00:00:00.279004,560.2986754499091,788.3808083469619,COMPLETE
