number,value,datetime_start,datetime_complete,duration,params_K,params_tournament_multiplier,state
54,0.6434447567376667,2025-11-14 22:46:45.500585,2025-11-14 22:46:45.539731,0 days 00:00:00.039146,404.335471021802,1.5547508811858068,COMPLETE
55,0.6544209270237581,2025-11-14 22:46:45.539856,2025-11-14 22:46:45.578739,0 days 00:00:00.038883,183.78624752901922,2.067230103007223,COMPLETE
56,0.6435471877991404,2025-11-14 22:46:45.578826,2025-11-14 22:46:45.618395,0 days 00:00:00.039569,431.80581701236787,1.1203469946946532,COMPLETE
57,0.6432721320361097,2025-11-14 22:46:45.618484,2025-11-14 22:46:45.657550,0 days 00:00:00.039066,481.221404915779,1.9392248948233646,COMPLETE
58,0.6431979983346232,2025-11-14 22:46:45.657673,2025-11-14 22:46:45.696034,0 days 00:00:00.038361,462.9223622805146,1.4771613279072517,COMPLETE
59,0.644180920203824,2025-11-14 22:46:45.696126,2025-11-14 22:46:45.734756,0 days 00:00:00.038630,359.8199145859786,1.7464113917009285,COMPLETE
60,0.6434589730169032,2025-11-14 22:46:45.734845,2025-11-14 22:46:45.773976,0 days 00:00:00.039131,417.7410391144444,2.236775376174273,COMPLETE
61,0.6431464774846642,2025-11-14 22:46:45.774069,2025-11-14 22:46:45.812538,0 days 00:00:00.038469,459.1050625924328,1.8316272509310292,COMPLETE
62,0.6431732441067161,2025-11-14 22:46:45.812621,2025-11-14 22:46:45.851975,0 days 00:00:00.039354,436.7602092160911,1.6264949372853992,COMPLETE
63,0.6432478454210752,2025-11-14 22:46:45.852070,2025-11-14 22:46:45.890980,0 days 00:00:00.038910,485.7997778954182,1.780036656399597,COMPLETE
64,0.643156039246796,2025-11-14 22:46:45.891066,2025-11-14 22:46:45.929621,0 days 00:00:00.038555,452.44157036943756,1.8892908236521802,COMPLETE
65,0.6433078830122184,2025-11-14 22:46:45.929696,2025-11-14 22:46:45.968762,0 days 00:00:00.039066,472.8351801128394,1.34388833425591,COMPLETE
66,0.6434811127686656,2025-11-14 22:46:45.968863,2025-11-14 22:46:46.007888,0 days 00:00:00.039025,400.45313504292443,1.9881850190525656,COMPLETE
67,0.643290284140258,2025-11-14 22:46:46.007970,2025-11-14 22:46:46.046319,0 days 00:00:00.038349,425.3410435108249,1.4700663364736046,COMPLETE
68,0.6431309597320796,2025-11-14 22:46:46.046409,2025-11-14 22:46:46.085635,0 days 00:00:00.039226,453.120641431877,1.7415666944017683,COMPLETE
69,0.6431432371350302,2025-11-14 22:46:46.085733,2025-11-14 22:46:46.125040,0 days 00:00:00.039307,443.7548430068918,1.6832920807636325,COMPLETE
70,0.6433718843379371,2025-11-14 22:46:46.125132,2025-11-14 22:46:46.164470,0 days 00:00:00.039338,419.5922038120833,2.1301178386241832,COMPLETE
71,0.643163011571096,2025-11-14 22:46:46.164551,2025-11-14 22:46:46.203806,0 days 00:00:00.039255,439.6297219233616,1.6271822009113908,COMPLETE
72,0.6432108693619518,2025-11-14 22:46:46.203893,2025-11-14 22:46:46.243056,0 days 00:00:00.039163,481.00141750234775,1.717287611259615,COMPLETE
73,0.6431736544768392,2025-11-14 22:46:46.243152,2025-11-14 22:46:46.281789,0 days 00:00:00.038637,450.3991193273578,1.5203587872201307,COMPLETE
74,0.6437381096355053,2025-11-14 22:46:46.281865,2025-11-14 22:46:46.320900,0 days 00:00:00.039035,381.9737404204126,1.6659508915786452,COMPLETE
75,0.6434338098172944,2025-11-14 22:46:46.321008,2025-11-14 22:46:46.360366,0 days 00:00:00.039358,499.4077543350521,1.4055662357021026,COMPLETE
76,0.6433366980637438,2025-11-14 22:46:46.360458,2025-11-14 22:46:46.399890,0 days 00:00:00.039432,411.6741526168586,1.8888013766614578,COMPLETE
77,0.6432459706160399,2025-11-14 22:46:46.399993,2025-11-14 22:46:46.439382,0 days 00:00:00.039389,468.4036788256515,2.0129535944791663,COMPLETE
78,0.6431446737408546,2025-11-14 22:46:46.439472,2025-11-14 22:46:46.478866,0 days 00:00:00.039394,442.19830588712085,1.7615476284104712,COMPLETE
79,0.6456835403063553,2025-11-14 22:46:46.478962,2025-11-14 22:46:46.517706,0 days 00:00:00.038744,333.9642495923818,3.0407117060021074,COMPLETE
80,0.6480607167678059,2025-11-14 22:46:46.517788,2025-11-14 22:46:46.557350,0 days 00:00:00.039562,268.47335533919033,1.210994881161278,COMPLETE
81,0.643149114905926,2025-11-14 22:46:46.557441,2025-11-14 22:46:46.596258,0 days 00:00:00.038817,459.61599828425625,1.8397702971345833,COMPLETE
82,0.6432231604249633,2025-11-14 22:46:46.596339,2025-11-14 22:46:46.635743,0 days 00:00:00.039404,430.0850013320001,1.5594227632446223,COMPLETE
83,0.64324622875533,2025-11-14 22:46:46.635837,2025-11-14 22:46:46.674894,0 days 00:00:00.039057,486.4882366449323,1.7323729019397547,COMPLETE
84,0.643173065598883,2025-11-14 22:46:46.674984,2025-11-14 22:46:46.714314,0 days 00:00:00.039330,455.53951808850155,1.9319528902570346,COMPLETE
85,0.6435752649551008,2025-11-14 22:46:46.714402,2025-11-14 22:46:46.753099,0 days 00:00:00.038697,392.4814194037344,1.6382453699481576,COMPLETE
86,0.645906839085019,2025-11-14 22:46:46.753196,2025-11-14 22:46:46.792284,0 days 00:00:00.039088,469.9341880878312,3.4126801720704467,COMPLETE
87,0.6432970458396566,2025-11-14 22:46:46.792372,2025-11-14 22:46:46.832024,0 days 00:00:00.039652,488.7891219037424,1.5085701693496287,COMPLETE
88,0.6438193385041173,2025-11-14 22:46:46.832112,2025-11-14 22:46:46.870799,0 days 00:00:00.038687,446.5980275841931,2.599221962586957,COMPLETE
89,0.6572871224573453,2025-11-14 22:46:46.870886,2025-11-14 22:46:46.909593,0 days 00:00:00.038707,158.58156063007937,2.0943655125750977,COMPLETE
90,0.6738597180884326,2025-11-14 22:46:46.909681,2025-11-14 22:46:46.948515,0 days 00:00:00.038834,63.6153231756943,1.815912581391454,COMPLETE
91,0.643173942215248,2025-11-14 22:46:46.948604,2025-11-14 22:46:46.988348,0 days 00:00:00.039744,434.4436041591704,1.6778596503517165,COMPLETE
92,0.6431837765043006,2025-11-14 22:46:46.988444,2025-11-14 22:46:47.027742,0 days 00:00:00.039298,472.53381593833547,1.5891467819666811,COMPLETE
93,0.6433362224258559,2025-11-14 22:46:47.027845,2025-11-14 22:46:47.067254,0 days 00:00:00.039409,422.2128099266125,1.426623347166739,COMPLETE
94,0.6431330156067269,2025-11-14 22:46:47.067340,2025-11-14 22:46:47.106625,0 days 00:00:00.039285,457.656470021801,1.7385028124254207,COMPLETE
95,0.6431384134337674,2025-11-14 22:46:47.106712,2025-11-14 22:46:47.145667,0 days 00:00:00.038955,459.3129616224185,1.78256368378716,COMPLETE
96,0.6431315894219822,2025-11-14 22:46:47.145757,2025-11-14 22:46:47.185182,0 days 00:00:00.039425,450.7328706538021,1.7408937419600539,COMPLETE
97,0.6431541453169647,2025-11-14 22:46:47.185278,2025-11-14 22:46:47.225208,0 days 00:00:00.039930,456.06136205395165,1.876011668400558,COMPLETE
98,0.643179392355071,2025-11-14 22:46:47.225303,2025-11-14 22:46:47.264452,0 days 00:00:00.039149,474.2255691246372,1.7577448981973292,COMPLETE
99,0.6435014000214659,2025-11-14 22:46:47.264537,2025-11-14 22:46:47.303559,0 days 00:00:00.039022,399.43686407753233,2.0121620117452816,COMPLETE
100,0.6433486428419822,2025-11-14 22:46:47.303642,2025-11-14 22:46:47.342976,0 days 00:00:00.039334,411.72469713162405,1.941066441269005,COMPLETE
101,0.6431420217358839,2025-11-14 22:46:47.343065,2025-11-14 22:46:47.381866,0 days 00:00:00.038801,443.8756013942389,1.694052975702682,COMPLETE
102,0.6431889399583527,2025-11-14 22:46:47.381941,2025-11-14 22:46:47.421257,0 days 00:00:00.039316,430.9852544044585,1.8118775383972368,COMPLETE
103,0.6432904955362275,2025-11-14 22:46:47.421340,2025-11-14 22:46:47.460284,0 days 00:00:00.038944,490.49186798776594,1.5639997834810095,COMPLETE
104,0.643137516844289,2025-11-14 22:46:47.460373,2025-11-14 22:46:47.499690,0 days 00:00:00.039317,461.1027113730673,1.7368766165626328,COMPLETE
105,0.6431452486468892,2025-11-14 22:46:47.499769,2025-11-14 22:46:47.538326,0 days 00:00:00.038557,459.1385669494808,1.6149214579223368,COMPLETE
106,0.6432544297635143,2025-11-14 22:46:47.538411,2025-11-14 22:46:47.577706,0 days 00:00:00.039295,478.55702429495915,1.4682232253860403,COMPLETE
107,0.6434412228766403,2025-11-14 22:46:47.577795,2025-11-14 22:46:47.617018,0 days 00:00:00.039223,467.2020386617608,2.2545411250349767,COMPLETE
108,0.6431493818769651,2025-11-14 22:46:47.617101,2025-11-14 22:46:47.656678,0 days 00:00:00.039577,449.6058303927476,1.8643383623870025,COMPLETE
109,0.6513689356151138,2025-11-14 22:46:47.656776,2025-11-14 22:46:47.695723,0 days 00:00:00.038947,217.15716301466904,1.739253654040561,COMPLETE
110,0.6433694264358487,2025-11-14 22:46:47.695817,2025-11-14 22:46:47.735412,0 days 00:00:00.039595,423.6035589754786,1.360529836401383,COMPLETE
111,0.6431536566564523,2025-11-14 22:46:47.735512,2025-11-14 22:46:47.774732,0 days 00:00:00.039220,439.7172436313767,1.68526387463712,COMPLETE
112,0.6431401633996807,2025-11-14 22:46:47.774830,2025-11-14 22:46:47.814052,0 days 00:00:00.039222,450.97396110505923,1.6325047755594142,COMPLETE
113,0.6431467116078196,2025-11-14 22:46:47.814138,2025-11-14 22:46:47.853228,0 days 00:00:00.039090,463.6923533095127,1.7833016210983683,COMPLETE
114,0.6431425619516075,2025-11-14 22:46:47.853316,2025-11-14 22:46:47.892114,0 days 00:00:00.038798,453.6692914807575,1.6152690906303342,COMPLETE
115,0.6433237993228997,2025-11-14 22:46:47.892200,2025-11-14 22:46:47.931288,0 days 00:00:00.039088,492.7318034439545,1.5139570417270989,COMPLETE
