number,value,datetime_start,datetime_complete,duration,params_beta,params_draw,params_sigma,params_tau,state
22,0.666851885568358,2025-11-15 16:46:19.161858,2025-11-15 16:46:19.452300,0 days 00:00:00.290442,220.46473939269958,0.08101241291528705,205.8472509818184,3.3521815102725756,COMPLETE
23,0.6718897783872523,2025-11-15 16:46:19.452417,2025-11-15 16:46:19.747798,0 days 00:00:00.295381,232.70728945007755,0.10118778366700784,253.34311133019486,3.718087837999031,COMPLETE
24,0.6715560478753596,2025-11-15 16:46:19.747913,2025-11-15 16:46:20.049687,0 days 00:00:00.301774,217.65237657222187,0.08232455584362222,227.97744968681906,2.6555460579955517,COMPLETE
25,0.6767803636570492,2025-11-15 16:46:20.049804,2025-11-15 16:46:20.345172,0 days 00:00:00.295368,223.70565603958488,0.08526204972778327,267.40038368724544,3.2880661438595253,COMPLETE
26,0.6754228723375932,2025-11-15 16:46:20.345291,2025-11-15 16:46:20.646178,0 days 00:00:00.300887,193.52850905362618,0.07429009136587324,200.07869408034153,4.104138216653535,COMPLETE
27,0.6800263957803527,2025-11-15 16:46:20.646288,2025-11-15 16:46:20.937882,0 days 00:00:00.291594,208.9237599388307,0.133057732290344,243.09795464019106,4.44262780061003,COMPLETE
28,0.6808457947703727,2025-11-15 16:46:20.938002,2025-11-15 16:46:21.229467,0 days 00:00:00.291465,232.69105060143968,0.107855869503622,302.05255207303946,3.3870330345178226,COMPLETE
29,0.670933560799013,2025-11-15 16:46:21.229588,2025-11-15 16:46:21.529756,0 days 00:00:00.300168,215.5167048433261,0.09787756821883076,216.99210715798273,3.7365301711967165,COMPLETE
30,0.6814395275715057,2025-11-15 16:46:21.529873,2025-11-15 16:46:21.819804,0 days 00:00:00.289931,200.28424534823196,0.09273172396942168,241.7511183910873,2.8454919116937925,COMPLETE
31,0.667912861566579,2025-11-15 16:46:21.819912,2025-11-15 16:46:22.110598,0 days 00:00:00.290686,225.02777057310573,0.08062526057113904,220.27938880346224,3.600839433715034,COMPLETE
32,0.6658320544773583,2025-11-15 16:46:22.110708,2025-11-15 16:46:22.408964,0 days 00:00:00.298256,227.27853582791087,0.07395020441423118,213.003801662699,3.1362016655759493,COMPLETE
33,0.674887035682546,2025-11-15 16:46:22.409082,2025-11-15 16:46:22.700049,0 days 00:00:00.290967,213.87386694821623,0.0828684144460113,237.70093575065818,3.9045352293968625,COMPLETE
34,0.7236807800234756,2025-11-15 16:46:22.700160,2025-11-15 16:46:22.998944,0 days 00:00:00.298784,138.9863432214285,0.07932168799804797,260.8676690502387,3.255829989076538,COMPLETE
35,0.6651818518651044,2025-11-15 16:46:22.999060,2025-11-15 16:46:23.333204,0 days 00:00:00.334144,223.79359387274025,0.08942755066494892,200.18149114383573,3.4860863307803447,COMPLETE
36,0.6660112754064171,2025-11-15 16:46:23.333326,2025-11-15 16:46:23.637726,0 days 00:00:00.304400,232.28169600462198,0.11302850476242668,216.2451759524252,3.6688214689372383,COMPLETE
37,0.688803784537673,2025-11-15 16:46:23.637865,2025-11-15 16:46:23.935356,0 days 00:00:00.297491,188.92179797380095,0.16937809575719093,232.7702229559013,4.037055943859902,COMPLETE
38,0.6955935181247386,2025-11-15 16:46:23.935468,2025-11-15 16:46:24.224620,0 days 00:00:00.289152,215.47284338761077,0.08532481600391464,354.74045764283574,2.88570627650523,COMPLETE
39,0.7629578491548669,2025-11-15 16:46:24.224735,2025-11-15 16:46:24.516784,0 days 00:00:00.292049,105.95179053428424,0.12137389963163167,279.7585493130588,3.052444026519239,COMPLETE
