number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
74,0.7163364457271932,2025-11-14 22:41:53.287595,2025-11-14 22:41:53.563145,0 days 00:00:00.275550,127.48398744739431,444.600728457042,COMPLETE
75,0.7064536107777304,2025-11-14 22:41:53.563255,2025-11-14 22:41:53.845172,0 days 00:00:00.281917,293.45780274562776,423.963551231119,COMPLETE
76,0.7164762155770239,2025-11-14 22:41:53.845278,2025-11-14 22:41:54.126672,0 days 00:00:00.281394,275.3049317232708,338.7912608352605,COMPLETE
77,0.7061424629678027,2025-11-14 22:41:54.126781,2025-11-14 22:41:54.402367,0 days 00:00:00.275586,284.90371423885176,434.7591320540977,COMPLETE
78,0.7044864972223169,2025-11-14 22:41:54.402473,2025-11-14 22:41:54.682853,0 days 00:00:00.280380,299.9062340939195,442.39043844972923,COMPLETE
79,0.7077479180211642,2025-11-14 22:41:54.682971,2025-11-14 22:41:54.962823,0 days 00:00:00.279852,293.64631859098097,408.9342631602755,COMPLETE
80,0.7057161075205669,2025-11-14 22:41:54.962936,2025-11-14 22:41:55.239411,0 days 00:00:00.276475,279.5222175278635,444.15856851685646,COMPLETE
81,0.7048090902672041,2025-11-14 22:41:55.239523,2025-11-14 22:41:55.519097,0 days 00:00:00.279574,295.5892761870434,441.96393594539114,COMPLETE
82,0.7064028445553725,2025-11-14 22:41:55.519205,2025-11-14 22:41:55.799375,0 days 00:00:00.280170,287.32024622459886,429.716322146465,COMPLETE
83,0.7039435019147534,2025-11-14 22:41:55.799489,2025-11-14 22:41:56.080255,0 days 00:00:00.280766,299.0699786607983,449.9651178123867,COMPLETE
84,0.7059758864303021,2025-11-14 22:41:56.080357,2025-11-14 22:41:56.359234,0 days 00:00:00.278877,288.64076493228634,433.62616693361593,COMPLETE
85,0.7057035626311537,2025-11-14 22:41:56.359352,2025-11-14 22:41:56.643095,0 days 00:00:00.283743,272.42881339768866,449.9692672620711,COMPLETE
86,0.7062694151668918,2025-11-14 22:41:56.643206,2025-11-14 22:41:56.922632,0 days 00:00:00.279426,293.33803045820645,426.22780816638624,COMPLETE
87,0.7061899100250546,2025-11-14 22:41:56.922759,2025-11-14 22:41:57.215549,0 days 00:00:00.292790,281.9870331008247,436.6005253391351,COMPLETE
88,0.7046315679599926,2025-11-14 22:41:57.215664,2025-11-14 22:41:57.498979,0 days 00:00:00.283315,295.29782765827935,444.4076674456012,COMPLETE
89,0.7086576972396255,2025-11-14 22:41:57.499100,2025-11-14 22:41:57.780008,0 days 00:00:00.280908,266.2612434114315,422.008014515498,COMPLETE
90,0.7263323630946309,2025-11-14 22:41:57.780125,2025-11-14 22:41:58.058581,0 days 00:00:00.278456,299.76347125289334,227.35475672229302,COMPLETE
91,0.7051260517807656,2025-11-14 22:41:58.058687,2025-11-14 22:41:58.340261,0 days 00:00:00.281574,288.81594693233376,443.6664804934012,COMPLETE
92,0.7049925268048077,2025-11-14 22:41:58.340369,2025-11-14 22:41:58.621581,0 days 00:00:00.281212,298.2023855929897,437.51849965930995,COMPLETE
93,0.7043592265716111,2025-11-14 22:41:58.621703,2025-11-14 22:41:58.905495,0 days 00:00:00.283792,299.9138363396835,443.9860788847545,COMPLETE
94,0.7048885636939862,2025-11-14 22:41:58.905608,2025-11-14 22:41:59.183385,0 days 00:00:00.277777,284.6603908933656,449.94033445316285,COMPLETE
95,0.7066051022900801,2025-11-14 22:41:59.183500,2025-11-14 22:41:59.465642,0 days 00:00:00.282142,278.5194933845915,434.63725078185473,COMPLETE
96,0.706223554086715,2025-11-14 22:41:59.465750,2025-11-14 22:41:59.748992,0 days 00:00:00.283242,292.30513421837776,427.6393233366222,COMPLETE
97,0.7118614838941817,2025-11-14 22:41:59.749106,2025-11-14 22:42:00.030016,0 days 00:00:00.280910,192.6134932589603,444.62993807741503,COMPLETE
98,0.7084943473970745,2025-11-14 22:42:00.030132,2025-11-14 22:42:00.311877,0 days 00:00:00.281745,272.6423461743909,418.52248984255664,COMPLETE
99,0.7058058737855532,2025-11-14 22:42:00.311989,2025-11-14 22:42:00.593057,0 days 00:00:00.281068,286.1547444468778,437.6934444431346,COMPLETE
100,0.7087691424866206,2025-11-14 22:42:00.593169,2025-11-14 22:42:00.877897,0 days 00:00:00.284728,255.9070027732696,429.1102235296773,COMPLETE
101,0.7045252036353067,2025-11-14 22:42:00.878007,2025-11-14 22:42:01.155843,0 days 00:00:00.277836,299.8743024886947,441.9312610320497,COMPLETE
102,0.7045238502235848,2025-11-14 22:42:01.155952,2025-11-14 22:42:01.436125,0 days 00:00:00.280173,294.9974931167452,445.99808475284374,COMPLETE
103,0.7053812041959893,2025-11-14 22:42:01.436235,2025-11-14 22:42:01.715985,0 days 00:00:00.279750,288.13723613512036,441.13670621557617,COMPLETE
104,0.7065698952439001,2025-11-14 22:42:01.716096,2025-11-14 22:42:01.997179,0 days 00:00:00.281083,279.85548732549563,433.94961203349374,COMPLETE
105,0.7043651582646943,2025-11-14 22:42:01.997295,2025-11-14 22:42:02.278657,0 days 00:00:00.281362,296.5297261360641,446.7200689459188,COMPLETE
106,0.7046041197451695,2025-11-14 22:42:02.278766,2025-11-14 22:42:02.561810,0 days 00:00:00.283044,292.2362056840641,447.2715469559152,COMPLETE
107,0.7190894197722754,2025-11-14 22:42:02.561933,2025-11-14 22:42:02.841090,0 days 00:00:00.279157,295.7982932206291,294.48694392085696,COMPLETE
108,0.7059753774450689,2025-11-14 22:42:02.841208,2025-11-14 22:42:03.121646,0 days 00:00:00.280438,282.49312899919374,438.6957268214466,COMPLETE
109,0.7068303934651794,2025-11-14 22:42:03.121761,2025-11-14 22:42:03.403081,0 days 00:00:00.281320,289.62326739581454,422.83241164709796,COMPLETE
110,0.7055113945834076,2025-11-14 22:42:03.403195,2025-11-14 22:42:03.682809,0 days 00:00:00.279614,275.2748880263117,449.9774096192137,COMPLETE
111,0.7044404774657994,2025-11-14 22:42:03.682925,2025-11-14 22:42:03.963386,0 days 00:00:00.280461,298.99275239346974,443.7302827590654,COMPLETE
112,0.7056527605933468,2025-11-14 22:42:03.963507,2025-11-14 22:42:04.247534,0 days 00:00:00.284027,294.514385990568,432.573515890681,COMPLETE
113,0.7052163941169044,2025-11-14 22:42:04.247645,2025-11-14 22:42:04.529383,0 days 00:00:00.281738,285.0116363211431,445.67783820957885,COMPLETE
114,0.7052812839643156,2025-11-14 22:42:04.529509,2025-11-14 22:42:04.829227,0 days 00:00:00.299718,290.5053598665592,440.3930563854332,COMPLETE
115,0.7051463357573757,2025-11-14 22:42:04.829337,2025-11-14 22:42:05.111568,0 days 00:00:00.282231,296.6961909093823,436.88994891566614,COMPLETE
116,0.7113540562299251,2025-11-14 22:42:05.111670,2025-11-14 22:42:05.401962,0 days 00:00:00.290292,221.70944879562782,429.49369017992433,COMPLETE
117,0.7045933427160749,2025-11-14 22:42:05.402097,2025-11-14 22:42:05.688966,0 days 00:00:00.286869,296.4875351625886,443.8982515166074,COMPLETE
118,0.7052560531625846,2025-11-14 22:42:05.689084,2025-11-14 22:42:05.970147,0 days 00:00:00.281063,279.7520419264986,449.445871369737,COMPLETE
119,0.715097295485718,2025-11-14 22:42:05.970258,2025-11-14 22:42:06.263880,0 days 00:00:00.293622,159.98476342733247,437.3835204619158,COMPLETE
120,0.7203176852104121,2025-11-14 22:42:06.264003,2025-11-14 22:42:06.546367,0 days 00:00:00.282364,129.88870332247964,416.25008357321013,COMPLETE
121,0.7042257594025048,2025-11-14 22:42:06.546479,2025-11-14 22:42:06.823788,0 days 00:00:00.277309,299.84196334523403,445.73319635021323,COMPLETE
122,0.7042781867545075,2025-11-14 22:42:06.823901,2025-11-14 22:42:07.106328,0 days 00:00:00.282427,299.64914482900696,445.22995216213184,COMPLETE
123,0.7122719847049864,2025-11-14 22:42:07.106437,2025-11-14 22:42:07.389855,0 days 00:00:00.283418,290.5048349650661,363.8346623901293,COMPLETE
124,0.706835586602041,2025-11-14 22:42:07.389975,2025-11-14 22:42:07.668466,0 days 00:00:00.278491,286.16561540764025,425.6792922649168,COMPLETE
125,0.7058350368187226,2025-11-14 22:42:07.668576,2025-11-14 22:42:07.950875,0 days 00:00:00.282299,292.5846724541079,432.0088738238106,COMPLETE
126,0.7052691433644174,2025-11-14 22:42:07.950985,2025-11-14 22:42:08.235636,0 days 00:00:00.284651,284.14103308943794,445.749041532919,COMPLETE
127,0.7225299866141051,2025-11-14 22:42:08.235755,2025-11-14 22:42:08.515843,0 days 00:00:00.280088,299.2763757725242,260.3197789502189,COMPLETE
128,0.7039224147722424,2025-11-14 22:42:08.515955,2025-11-14 22:42:08.799091,0 days 00:00:00.283136,299.7267103241519,449.69181508614844,COMPLETE
129,0.7054571709523026,2025-11-14 22:42:08.799207,2025-11-14 22:42:09.083137,0 days 00:00:00.283930,290.86521616919873,437.9705887216438,COMPLETE
130,0.7043371882589794,2025-11-14 22:42:09.083246,2025-11-14 22:42:09.362351,0 days 00:00:00.279105,294.13661763601766,449.0429931873428,COMPLETE
131,0.704404637436602,2025-11-14 22:42:09.362468,2025-11-14 22:42:09.651974,0 days 00:00:00.289506,294.9712249356344,447.5106564568208,COMPLETE
132,0.70464784946484,2025-11-14 22:42:09.652090,2025-11-14 22:42:09.940731,0 days 00:00:00.288641,288.8680944340626,449.48292038838457,COMPLETE
133,0.7049702955304303,2025-11-14 22:42:09.940849,2025-11-14 22:42:10.225223,0 days 00:00:00.284374,294.9728595012025,440.48780361785856,COMPLETE
134,0.715022347853397,2025-11-14 22:42:10.225344,2025-11-14 22:42:10.513790,0 days 00:00:00.288446,299.25863797412944,328.38190887546835,COMPLETE
135,0.7062608998498621,2025-11-14 22:42:10.513902,2025-11-14 22:42:10.798317,0 days 00:00:00.284415,284.01559570242057,434.10782608840185,COMPLETE
136,0.7046237483766237,2025-11-14 22:42:10.798438,2025-11-14 22:42:11.082178,0 days 00:00:00.283740,299.9716331012638,440.6156987324579,COMPLETE
137,0.7050726614383461,2025-11-14 22:42:11.082294,2025-11-14 22:42:11.365660,0 days 00:00:00.283366,287.9103714847176,445.0569313237017,COMPLETE
