number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
65,0.6828465043917876,2025-11-14 22:59:28.408889,2025-11-14 22:59:28.693994,0 days 00:00:00.285105,275.809990135052,442.6930745377781,COMPLETE
66,0.6832705157024146,2025-11-14 22:59:28.694111,2025-11-14 22:59:28.978904,0 days 00:00:00.284793,292.58623848917193,422.24471351946346,COMPLETE
67,0.683332224463269,2025-11-14 22:59:28.979013,2025-11-14 22:59:29.257960,0 days 00:00:00.278947,269.07929363522146,432.49300273490627,COMPLETE
68,0.687803783726974,2025-11-14 22:59:29.258073,2025-11-14 22:59:29.541675,0 days 00:00:00.283602,70.71322296171162,408.2598480431334,COMPLETE
69,0.6828980273112636,2025-11-14 22:59:29.541788,2025-11-14 22:59:29.825029,0 days 00:00:00.283241,281.412926115619,438.3861119379296,COMPLETE
70,0.6828842164855528,2025-11-14 22:59:29.825148,2025-11-14 22:59:30.110224,0 days 00:00:00.285076,259.8195579601211,449.7759513821993,COMPLETE
71,0.6825439599170704,2025-11-14 22:59:30.110340,2025-11-14 22:59:30.392518,0 days 00:00:00.282178,291.0991647957584,443.6173637063405,COMPLETE
72,0.6837832231503358,2025-11-14 22:59:30.392624,2025-11-14 22:59:30.675275,0 days 00:00:00.282651,211.04605261675607,449.73541760109504,COMPLETE
73,0.6830519488419271,2025-11-14 22:59:30.675389,2025-11-14 22:59:30.958879,0 days 00:00:00.283490,285.7124985049924,431.85694289962015,COMPLETE
74,0.6863707173888828,2025-11-14 22:59:30.958989,2025-11-14 22:59:31.238311,0 days 00:00:00.279322,127.48398744739431,422.46469354534247,COMPLETE
75,0.6825834528926101,2025-11-14 22:59:31.238423,2025-11-14 22:59:31.521471,0 days 00:00:00.283048,293.45780274562776,441.29583212730694,COMPLETE
76,0.686543061450646,2025-11-14 22:59:31.521581,2025-11-14 22:59:31.803628,0 days 00:00:00.282047,282.97405468141744,338.7912608352605,COMPLETE
77,0.6843684273909143,2025-11-14 22:59:31.803735,2025-11-14 22:59:32.080890,0 days 00:00:00.277155,273.6981458282073,401.7973585073963,COMPLETE
78,0.6828610412579277,2025-11-14 22:59:32.081000,2025-11-14 22:59:32.363811,0 days 00:00:00.282811,299.90673932630943,430.12547267196845,COMPLETE
79,0.6916203113434637,2025-11-14 22:59:32.363922,2025-11-14 22:59:32.646590,0 days 00:00:00.282668,199.62802904348263,229.52772701865865,COMPLETE
80,0.6826230049671856,2025-11-14 22:59:32.646697,2025-11-14 22:59:32.925665,0 days 00:00:00.278968,285.50829062613565,444.15856851685646,COMPLETE
